Acc X,Acc Y,Acc Z,gyro_x,gyro_y,gyro_z
0.046402127,-0.13717842,-0.28293374,-0.03630576,-0.008226318,-0.0234165
-0.13697833,0.365242,0.108888835,0.035776343,-0.00944805,0.009570222
-0.045354933,-0.10334015,-0.5349848,-0.011871147,-0.027774006,0.00346157
0.24208939,0.07276058,-0.3503963,-0.0179798,0.002769256,-0.005090542
-0.23023361,0.011764526,-0.4940847,0.011341732,0.003380121,0.006515894
0.08243817,1.48E-04,-0.028262824,-0.02836451,0.003380121,-2.04E-04
-2.291411,2.539795,-3.370381,0.6551937,0.120055385,-0.09427687
0.05437374,2.0105581,-0.14475334,0.5507357,0.0669101,-0.1413135
-1.9965062,0.82431984,-5.3761787,0.38396955,-0.059538998,-0.20606521
0.11707476,-1.5123501,8.410082,0.95451766,0.051638477,-0.1498656
